model,overall_mean_dice_macro,overall_mean_iou_macro,overall_num_no_pred_mask,total_records,total_failures,no_pred_rate,failure_rate
SAM3,0.44681939080019534,0.40714076525488513,8727,11974,209,0.7288291297811926,0.017454484716886588
Medical-SAM3,0.32601915552946953,0.2550242059637658,2569,11974,209,0.21454818774010356,0.017454484716886588
MedSAM3-LoRA,0.2534334386378565,0.19329163441467884,1179,11974,209,0.09846333723066644,0.017454484716886588
